BS_point,BS_upper,BS_middle,BS_lower,FS_point,FS_upper,FS_middle,FS_lower
BM1,0.89,0.7,0.51,TP 1,2.18,1.99,1.8
TP 1,1.66,1.53,1.4,TP 2,1.06,0.93,0.8
TP 2,1.65,1.57,1.5,TP 3,1.05,1.02,0.94
TP 3,1.74,1.66,1.58,TP 4,1.1,1.02,0.94
TP 4,1.91,1.82,1.73,TP 5,0.93,0.84,0.74
TP 5,1.85,1.75,1.65,TP 6,0.84,0.73,0.61
TP 6,1.9,1.79,1.68,TP 7,0.89,0.79,0.69
TP 7,2.06,1.91,1.76,TP 8,0.69,0.55,0.41
TP 8,2.35,2.21,2.07,TP 9,0.89,0.76,0.62
TP 9,1.1,1.01,0.92,TP 10,1.93,1.82,1.71
TP 10,0.7,0.61,0.52,TP 11,1.76,1.65,1.54
TP 11,0.81,0.7,0.59,TP 12,1.85,1.73,1.61
TP 12,0.82,0.71,0.6,TP 13,1.14,1.04,0.93
TP 13,0.91,0.8,0.69,TP 14,1.89,1.78,1.67
TP 14,0.82,0.69,0.56,TP 15,2,1.88,1.76
TP 15,1.05,0.91,0.78,TP 16,1.78,1.65,1.52
TP 16,1.28,1.02,0.76,TP 17,1.94,1.73,1.52
TP 17,2.62,2.51,2.4,BM 1,2.2,2.11,2.02
