BS_point,BS_Reading,BS_Dist,FS_point,FS_Readings,FS_Dist
BM1,0.7,38,TP 1,1.99,38
TP 1,1.53,26,TP 2,0.93,26
TP 2,1.57,15,TP 3,1,11
TP 3,1.66,16,TP 4,1.02,16
TP 4,1.82,18,TP 5,0.836,19
TP 5,1.75,20,TP 6,0.726,23
TP 6,1.79,22,TP 7,0.79,20
TP 7,1.91,30,TP 8,0.55,28
TP 8,2.21,28,TP 9,0.756,27
TP 9,1.01,18,TP 10,1.82,22
TP 10,0.61,18,TP 11,1.65,22
TP 11,0.7,22,TP 12,1.73,24
TP 12,0.71,22,TP 13,1.04,21
TP 13,0.8,22,TP 14,1.78,22
TP 14,0.69,26,TP 15,1.88,24
TP 15,0.913,27,TP 16,1.65,26
TP 16,1.02,52,TP 17,1.73,42
TP 17,2.51,22,BM 1,2.11,18
